
2018-11-21 14:45:09,161 proc_top starting

2018-11-21 14:45:19,161
   pid name                  utime  stime  pct
2018-11-22 08:45:58,142
   pid name                  utime  stime  pct
   905 (telem_down)             12     90  10%
   918 (python)                 83      7   9%
   921 (python)                 38     23   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 38      7   5%
   914 (vidsrc:src)             14     12   3%
   890 (dataflash_logge)         4      8   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  5      1   1%
    71 (mmcqd/0)                 0      5   1%
   906 (telem_up)                1      4   1%

2018-11-22 08:46:08,142
   pid name                  utime  stime  pct
   905 (telem_down)             11     92  10%
   918 (python)                 84      8   9%
   921 (python)                 48     14   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 43      2   5%
   914 (vidsrc:src)             16     10   3%
   890 (dataflash_logge)         4     10   1%
    24 (ipu1_task)               0      9   1%
   903 (pixrc_udp)               2      6   1%
    71 (mmcqd/0)                 0      6   1%
   920 (python)                  6      0   1%
   908 (pixrc_ser)               0      5   1%

2018-11-22 08:46:18,142
   pid name                  utime  stime  pct
   905 (telem_down)             20     83  10%
   918 (python)                 89      2   9%
   921 (python)                 50     11   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 37      8   5%
   914 (vidsrc:src)             13     13   3%
   890 (dataflash_logge)         4      9   1%
   903 (pixrc_udp)               2      7   1%
    24 (ipu1_task)               0      8   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                0      5   1%
   920 (python)                  4      1   1%

2018-11-22 08:46:28,142
   pid name                  utime  stime  pct
   905 (telem_down)             18     85  10%
   918 (python)                 87      4   9%
   901 (python)                 64      0   6%
   921 (python)                 51     11   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 35     10   5%
   914 (vidsrc:src)             16     10   3%
   890 (dataflash_logge)         1     12   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  6      0   1%
   908 (pixrc_ser)               0      5   1%

2018-11-22 08:46:38,142
   pid name                  utime  stime  pct
   905 (telem_down)             14     88  10%
   918 (python)                 87      5   9%
   921 (python)                 51     11   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 38      6   4%
   914 (vidsrc:src)             18      9   3%
   890 (dataflash_logge)         2     11   1%
    24 (ipu1_task)               0      8   1%
   903 (pixrc_udp)               1      7   1%
    71 (mmcqd/0)                 0      6   1%
   906 (telem_up)                0      5   1%
   920 (python)                  4      1   1%
  1055 (kworker/u2:0)            0      5   1%

2018-11-22 08:46:48,142
   pid name                  utime  stime  pct
   905 (telem_down)             15     86  10%
   918 (python)                 85      5   9%
   921 (python)                 49     12   6%
  1056 (kworker/0:0)             0     50   5%
   919 (python)                 36      9   5%
   914 (vidsrc:src)             18      8   3%
   890 (dataflash_logge)         3     10   1%
   903 (pixrc_udp)               2      8   1%
    24 (ipu1_task)               0      9   1%
   920 (python)                  5      1   1%
  1055 (kworker/u2:0)            0      5   1%

2018-11-22 08:46:58,142
   pid name                  utime  stime  pct
   905 (telem_down)             16     86  10%
   918 (python)                 88      3   9%
   921 (python)                 46     16   6%
  1056 (kworker/0:0)             0     52   5%
   919 (python)                 38      7   5%
   914 (vidsrc:src)             20      7   3%
   890 (dataflash_logge)         3     10   1%
   903 (pixrc_udp)               2      7   1%
    24 (ipu1_task)               0      8   1%
   920 (python)                  6      0   1%
   908 (pixrc_ser)               0      5   1%
   906 (telem_up)                1      4   1%

2018-11-22 08:47:08,142
   pid name                  utime  stime  pct
   905 (telem_down)             13     92  11%
   918 (python)                 84      6   9%
   921 (python)                 47     15   6%
  1056 (kworker/0:0)             0     53   5%
